S.No,English,Hindi
1,India - Wikipedia,भारत - विकिपीडिया
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,Jump to content,सामग्री पर जाएँ
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,Main menu,मुख्य मेन्यू
46,,
47,,
48,,
49,,
50,,
51,Main menu,मुख्य मेन्यू
52,move to sidebar,साइडबार पर जाएँ
53,hide,खोजें
54,,
55,,
56,,
57,Navigation,परिभ्रमण
58,,
59,,
60,,
61,Main page Contents Current events Random article About Wikipedia Contact us,सहायता स्वशिक्षा अक्सर पूछे जाने वाले प्रश्न देवनागरी कैसे टाइप करें दूतावास (Embassy)
62,,
63,,
64,,
65,,
66,,
67,Contribute,दान करें
68,,
69,,
70,,
71,Help Learn to edit Community portal Recent changes Upload file Special pages,विकिमीडिया कॉमन्स विकिसूक्ति विकियात्रा विकिडेटा आयटम
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,Search,छुपाएँ
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,Search,योगदान
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,Appearance,खाता बनाएँ
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,Donate,सहायता
144,,
145,Create account,प्रयोगपृष्ठ अनुरोध
146,,
147,Log in,खोजें
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,Personal tools,लॉग-इन करें
157,,
158,,
159,,
160,,
161,,
162,Donate   Create account   Log in,दान करें   खाता बनाएँ   लॉग-इन करें
163,,
164,,
165,,
166,,
167,,
168,Pages for logged out editors  learn more,लॉग-आउट किए गए संपादकों के लिए पृष्ठ  अधिक जानें
169,,
170,,
171,,
172,Contributions Talk,व्यक्तिगत उपकरण
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,Contents,दिखावट
